Kode;Lembaga
88203;Pendidikan Bahasa Inggris S1
88202;Pendidikan Bahasa dan Sastra Daerah S1
88201;Pendidikan Bahasa Dan Sastra Indonesia S1
88101;Pendidikan Bahasa dan Sastra Indonesia S2
87205;Pendidikan Pancasila Dan Kewarganegaraan S1
87203;Pendidikan Ekonomi S1
86207;Pendidikan Guru Pendidikan Anak Usia Dini S1
86206;Pendidikan Guru Sekolah Dasar S1
86201;Bimbingan dan Konseling S1
86104;Manajemen Pendidikan S2
85201;Pendidikan Jasmani, Kesehatan dan Rekreasi S1
84205;Pendidikan Biologi S1
84203;Pendidikan Fisika S1
84202;Pendidikan Matematika S1
83207;Pendidikan Teknologi Informasi S1
74201;Hukum S1
61201;Manajemen S1
55201;Informatika S1
41221;Teknologi Pangan S1
23201;Arsitektur S1
22401;Teknik Sipil D3
22201;Teknik Sipil S1
21401;Teknik Mesin D3
21201;Teknik Mesin S1
20401;Teknik Elektronika D3
20201;Teknik Elektro S1
